id,idade,renda,cidade,categoria,nota,feedback,feedback_Bom
1,-0.28429108912276735,-0.5875937457131807,Belo Horizonte,A,-0.15965242931159515,Bom,1
2,1.2695517679102861,0.6485350762464372,Belo Horizonte,B,0.14885468046926523,Ruim,0
3,1.0830906250663197,0.4968807276561078,São Paulo,B,0.011740409455549444,Ruim,0
4,1.0830906250663197,0.37200213850291936,Rio de Janeiro,A,-1.085173758654176,Bom,1
5,0.5858609108157425,-1.031929125472009,Vitória,B,0.18313324822269403,Bom,1
6,-1.2787505176239216,0.08126899745513577,Rio de Janeiro,B,-0.8795023521336024,Regular,0
7,-1.52736537474921,-1.3280140454373146,Belo Horizonte,A,-0.6738309456130289,Ruim,0
8,1.3317054821916081,-0.860076308761242,Belo Horizonte,A,-0.5367166745993133,Regular,0
9,-1.2165968033425993,-0.30724654116762606,Vitória,A,-0.19393099706502395,Regular,0
10,-1.6516728033118544,0.3139786236949316,Belo Horizonte,A,-1.1537308941610338,Regular,0
11,0.21293862512780976,-1.0812841076215733,São Paulo,A,-0.15965242931159515,Ruim,0
12,0.08863119656516548,-0.5061646305657986,Belo Horizonte,B,-1.3936808684350361,Bom,1
13,-0.595059660529378,-0.6640196221666603,São Paulo,A,-0.33104526807873974,Bom,1
14,1.5803203393168967,1.434102578162399,São Paulo,A,-1.3936808684350361,Ruim,0
15,0.5237071965344204,-1.1379640560836706,Belo Horizonte,A,1.519997390606422,Bom,1
16,-1.2787505176239216,0.29455312784461885,São Paulo,B,0.5944760612638411,Bom,1
17,0.3993997679717762,-0.29321498635866056,Vitória,B,1.5885545261132796,Bom,1
18,-1.5895190890305322,-0.8476975092062172,São Paulo,B,0.011740409455549444,Regular,0
19,0.08863119656516548,0.9755445086332649,São Paulo,B,1.5885545261132796,Bom,1
20,-0.8436745176546665,0.6049281969783504,Belo Horizonte,A,-0.4338809713390264,Bom,1
21,-0.9058282319359887,0.40939994233570876,Rio de Janeiro,B,-0.9823380553938892,Regular,0
22,-0.7815208033733444,-1.3724978968809622,São Paulo,B,-0.7766666488733156,Regular,0
23,0.6480146250970648,0.7858149514206908,Vitória,B,-0.33104526807873974,Bom,1
24,0.15078491084648762,1.3773636027269471,Rio de Janeiro,B,0.18313324822269403,Bom,1
25,0.2750923394091319,-1.1406849184745116,São Paulo,B,0.3545260869898386,Ruim,0
26,-0.5329059462480559,0.794244565377439,São Paulo,A,1.1772117130721327,Regular,0
