id,idade,renda,cidade,categoria,nota,feedback,feedback_Bom
1,-0.28271257595759247,-0.5806389810203183,Belo Horizonte,A,-0.15765086016191537,Bom,1
2,1.263247053050144,0.647432414041549,Belo Horizonte,B,0.14861612472616736,Ruim,0
3,1.0777318975692156,0.4967665901144949,São Paulo,B,0.012497464775908311,Ruim,0
4,1.0777318975692156,0.3727019938763822,Rio de Janeiro,A,-1.0764518148261633,Bom,1
5,0.58302481628674,-1.0220780608329847,Vitória,B,0.182645789713732,Bom,1
6,-1.2721267385225439,0.08386393122911054,Rio de Janeiro,B,-0.8722738249007749,Regular,0
7,-1.5194802791637816,-1.316233018034082,Belo Horizonte,A,-0.6680958349753864,Ruim,0
8,1.3250854382104535,-0.8513454279438556,Belo Horizonte,A,-0.5319771750251275,Regular,0
9,-1.2102883533622344,-0.30211915649089627,Vitória,A,-0.19168052514947997,Regular,0
10,-1.6431570494844006,0.31505669226155886,Belo Horizonte,A,-1.1445111448012928,Regular,0
11,0.2119945053248832,-1.0711113336641953,São Paulo,A,-0.15765086016191537,Ruim,0
12,0.08831773500426429,-0.49974064319241374,Belo Horizonte,B,-1.3827187997142458,Bom,1
13,-0.5919045017591398,-0.656566692637188,São Paulo,A,-0.32779918509973904,Bom,1
14,1.5724389788516913,1.4278793713933107,São Paulo,A,-1.3827187997142458,Ruim,0
15,0.5211864311264305,-1.1274218266672913,Belo Horizonte,A,1.5098027242287568,Bom,1
16,-1.2721267385225439,0.2957578171242219,São Paulo,B,0.5910017695645089,Bom,1
17,0.39750966080581157,-0.28817906320691633,Vitória,B,1.5778620542038861,Bom,1
19,0.08831773500426429,0.9723103092054561,São Paulo,B,1.5778620542038861,Bom,1
20,-0.8392580424003776,0.6041097763797574,Belo Horizonte,A,-0.4298881800624332,Bom,1
21,-0.9010964275606871,0.40985602856054726,Rio de Janeiro,B,-0.974362819863469,Regular,0
22,-0.7774196572400681,-1.3604269115261225,São Paulo,B,-0.7701848299380806,Regular,0
23,0.6448632014470495,0.7838174613151025,Vitória,B,-0.32779918509973904,Bom,1
24,0.15015612016457375,1.3715102361708713,Rio de Janeiro,B,0.182645789713732,Bom,1
25,0.27383289048519266,-1.1301249537303708,São Paulo,B,0.3527941146515557,Ruim,0
26,-0.5300661165988303,0.792192128734705,São Paulo,A,1.1695060743531094,Regular,0
27,-0.7155812720797586,0.014241654435002277,Rio de Janeiro,B,-1.4167484647018107,Bom,1
29,-0.4063893462782114,0.4138827942888123,Belo Horizonte,A,1.6118917191914506,Regular,0
30,0.2119945053248832,-0.030949156785880554,Belo Horizonte,B,0.829209424477462,Bom,1
31,-1.5194802791637816,1.2768337692838407,Belo Horizonte,A,1.1014467443779796,Bom,1
32,-0.4063893462782114,1.0638228887345642,São Paulo,B,0.11458645973860246,Regular,0
33,-1.0866115830416154,-0.11092038905082793,Belo Horizonte,A,1.0333874144028503,Bom,1
35,-0.7774196572400681,0.4823629440490365,Vitória,B,0.2166754547012966,Regular,0
36,1.3869238233707628,0.365676097501684,Rio de Janeiro,B,1.3736840642784978,Ruim,0
37,0.33567127564550214,-0.040588820651324874,Rio de Janeiro,B,0.7271204295147676,Ruim,0
39,0.8303783569279778,0.545612766341133,Rio de Janeiro,B,1.6118917191914506,Regular,0
40,-0.15903580563697356,1.547012436233285,Rio de Janeiro,A,1.4077137292660624,Ruim,0
41,-1.0866115830416154,0.8736377939431502,São Paulo,A,-1.5868967896396344,Regular,0
42,0.2119945053248832,-1.4797889602702006,São Paulo,,0.8972687544525914,Regular,0
44,1.139570282729525,-0.30461563954295506,Belo Horizonte,A,1.2715950693158034,Regular,0
45,-1.457641894003472,0.8028342953022628,Rio de Janeiro,B,0.4208534446266852,Ruim,0
46,0.9540551272485968,0.028304617130940523,São Paulo,B,0.7611500945023326,Bom,1
47,2.8092066820578805,2.3799665197907105,Belo Horizonte,A,2.3265146839303106,Ruim,0
48,-0.03535903531635463,1.0957828982768616,São Paulo,A,0.3868237796391203,Regular,0
49,-0.46822773143852087,-1.2525224354471425,São Paulo,B,0.31876444966399103,Bom,1
50,-1.148449968201925,1.488333914563359,Rio de Janeiro,A,-1.0424221498385986,Regular,0
51,1.263247053050144,0.5323540397961938,Belo Horizonte,B,-1.5868967896396344,Bom,1
52,1.5106005936913818,1.093247320411907,Vitória,A,0.7271204295147676,Bom,1
53,0.02647934984395483,-0.08816441545885009,São Paulo,A,-0.5660068400126923,Ruim,0
54,1.5724389788516913,-0.8803789114922408,Rio de Janeiro,B,1.135476409365545,Regular,0
55,-1.2102883533622344,-0.170838774786877,Belo Horizonte,A,0.3868237796391203,Ruim,0
56,0.27383289048519266,1.3161408111639092,São Paulo,B,0.11458645973860246,Bom,1
58,-2.1997025159271857,5.860158838906429,Vitória,A,2.1223366940049218,Ruim,0
59,-1.5194802791637816,-0.8479022919223917,Vitória,A,-0.6000365050002568,Regular,0
60,-1.024773197881306,-0.7866518900612508,São Paulo,A,-0.7701848299380806,Bom,1
61,-0.9629348127209965,0.6920256331224538,São Paulo,A,0.7271204295147676,Ruim,0
62,1.0158935124089061,-1.5837588226798844,Vitória,B,0.182645789713732,Ruim,0
63,1.6342773640120007,0.36927282028809527,São Paulo,A,1.5778620542038861,Ruim,0
64,-1.3339651236828534,1.4423444521647484,Belo Horizonte,B,1.2715950693158034,Bom,1
65,0.33567127564550214,0.3845728545635214,Vitória,A,1.1695060743531094,Regular,0
66,-2.0141873604462575,2.59614128769791,Belo Horizonte,A,-2.063312099465541,Regular,0
68,-0.3445509611179019,-1.336676812691938,Rio de Janeiro,B,0.2507051196888615,Bom,1
69,1.6342773640120007,0.7553676074735187,Rio de Janeiro,B,-0.4298881800624332,Bom,1
70,-1.148449968201925,1.0669113789533304,Rio de Janeiro,A,0.3868237796391203,Regular,0
71,-1.3958035088431626,1.1699653057465986,Vitória,A,1.1695060743531094,Bom,1
72,-0.9629348127209965,-0.38891522609279205,Rio de Janeiro,A,0.556972104576944,Bom,1
73,1.5106005936913818,-1.1488569540807188,São Paulo,A,-0.05556186519922122,Ruim,0
74,-0.03535903531635463,1.432375274876325,Vitória,B,1.4757730592411922,Ruim,0
75,1.0158935124089061,1.0214887913417086,São Paulo,B,0.8972687544525914,Bom,1
76,-1.457641894003472,1.5736611361950281,São Paulo,A,-1.3486891347266812,Bom,1
77,1.3869238233707628,0.16649919574424157,São Paulo,B,-0.7021254999629511,Regular,0
78,-0.15903580563697356,0.6985600518493192,Belo Horizonte,A,1.5438323892163215,Bom,1
80,0.2119945053248832,0.839156168969075,São Paulo,A,-1.3486891347266812,Ruim,0
81,0.27383289048519266,-0.7634770434739613,São Paulo,B,-1.3146594697391163,Regular,0
82,0.02647934984395483,1.4235007523489835,Belo Horizonte,A,0.08055679475103784,Ruim,0
83,-0.28271257595759247,1.2044385532607678,São Paulo,B,1.1014467443779796,Ruim,0
84,-1.3339651236828534,-0.565126717760601,Vitória,A,0.012497464775908311,Ruim,0
85,1.0777318975692156,1.527869940347531,Belo Horizonte,A,0.11458645973860246,Ruim,0
